label	text_a	text_b
1	喜欢打篮球的男生喜欢什么样的女生	爱打篮球的男生喜欢什么样的女生
1	我手机丢了，我想换个手机	我想买个新手机，求推荐
0	大家觉得她好看吗	大家觉得跑男好看吗？
1	求秋色之空漫画全集	求秋色之空全集漫画
0	晚上睡觉带着耳机听音乐有什么害处吗？	孕妇可以戴耳机听音乐吗?
1	学日语软件手机上的	手机学日语的软件
0	打印机和电脑怎样连接，该如何设置	如何把带无线的电脑连接到打印机上
1	侠盗飞车罪恶都市怎样改车	侠盗飞车罪恶都市怎么改车
1	什么花一年四季都开	什么花一年四季都是开的
1	看图猜一电影名	看图猜电影！
0	这上面写的是什么？	胃上面是什么
0	建议您重新注册，辛苦您了。	可以的，您注销成功后，可以重新注册的，辛苦您了。
1	小草有什么的特点,可以象征什么?	小草有什么特点可以象征什么
0	校验失败了，	您好，您还是访客状态呢
0	尼玛什么意思	尼玛啊是什么意思？
1	自找苦吃的地方是哪儿？	自找苦吃的地方是哪儿
1	尾号4位多少	尾号是多少后4位
1	谢文东能在哪里看	谢文东在哪里看
0	新概念英语第二册练习册41课答案	新概念英语第二册练习册21练习答案
0	过年送礼送什么好	过年前什么时候送礼？
0	壮丁是什么生肖	欲钱买壮丁指的是什么生肖？
1	这是什么蔬菜啊	这是什么蔬菜呀？
0	最近有什么好电视剧看？	现在看电影都是有哪些号网站啊
1	性与爱有什么区别？	性与爱有什么区别
0	网上卖的烟有真的吗？	网上帮你刷钻是真的吗
1	什么印象	什么印象了
0	面相上看，耳垂上有痣代表什么？	男性耳朵上长痣代表什么（耳垂这里）
1	男生喜欢女生送他什么礼物呢	男生最喜欢女生送什么礼物
1	如何快速忘记一个人	怎样能快速忘记一个人
1	周杰伦女友是谁	周杰伦的现女友是谁
0	月初和月末是会出现这个延迟的情况的，小二建议您耐心等待一下	因周六周日不属于工作日所以建议您耐心等待
1	支付宝手机支付密码是什么	支付宝里手机支付密码是什么
1	关于网页设计的问题	关于网页设计的一个问题
0	有没有专门为房地产行业做咨询的公司啊？	国内咨询公司中哪家的房地产咨询做的比较好啊？
1	这系列的漫画叫什么名字	这个系列的漫画叫什么名字？
0	无线路由器怎么无线上网	无线上网卡和无线路由器怎么用
0	左眼皮跳是什么原因	女的右眼皮跳是什么原因啊？
1	部落战争怎么更新？	部落战争，怎样更新
0	这个空气净化器有用吗？	空气刘海是怎么样的
1	看图猜成语，这是什么？	【看图猜成语】请问这个是？
1	找工作网站哪个好？	找工作哪个网站好
1	问发型，男生。	关于男生发型
1	安卓手机怎么设置来电自动接听	三星手机怎么自动接听
0	部落冲突游戏怎么找回	部落冲突重置游戏
0	怎么才能下载穿越火线	穿越火线的挂怎么下载
1	你点击详情	您点击详情
1	我要找一个人怎么找	我要找一个人
1	中国四大古城是哪些？	中国的四大古城有哪些?5
1	脸上痣太多怎么办？	脸上痣太多怎么办
0	福州哪家装修公司好	转运公司哪家好
1	请问下这是什么表情	请问这个表情叫什么？
0	大限什么意思	微淘什么意思
0	名人理财小故事几则	投资理财的小故事
0	奔跑吧兄弟里的	奔跑吧兄弟主题曲！
0	宝盖头的字与什么有关	河水像什么有关的字
1	下雪了，房子像什么？	下雪了，房子像什么
0	一本官场小说的名字？	我想找一本小说名字叫什么骨
1	求恋爱棱镜漫画	求恋爱棱镜的漫画。
1	类似于植物大战僵尸的游戏有哪些	有哪些游戏和植物大战僵尸类似
1	这是什么动画啊	这是什么动画，叫什么
0	日本爱情吻戏动漫	哪部韩剧吻戏最多
0	哪位亲有东方神起塞班岛的写真辑啊？	这张图是东方神起在哪里的写真
1	石家庄天气如何？	石家庄天气怎样
1	中国哪里的地方最美	中国最美丽的地方再那里
1	追女孩该怎么追？	追女孩要怎么追
1	高中数学问题，数列	高中数学，数列问题。
1	劝告你不听是什么成语	只要不听劝告是什么成语带一的
1	支付宝为什么不能实名认证	为什么不能支付宝实名认证？
1	小尾巴怎么设置	贴吧里的小尾巴怎么设置？
0	麻烦您点击链接看看的，辛苦您了。	您点击账户通-我的银行卡-添加就可以的，辛苦您了。
1	罗志祥的发型叫什么	罗志祥的发型叫什么？
1	红豆薏米粥减肥靠谱吗	红豆薏米粥能减肥吗
1	大写的万字，怎么写？	大写万字怎么写？
1	网易新闻和腾讯新闻哪个强	腾讯新闻和网易新闻哪个好
0	这边给您发送，您从新操作一下可以吗？	您好，您的这个红包是只能在这个给您发送红包的商家使用的，麻烦了。
0	游戏王混沌力量城之内篇全卡下载	游戏王之混沌力量-城之内篇汉化版
1	苹果手机怎么截图啊	苹果手机怎么截图？
1	张翰和郑爽是为什么分手？！﹏	张翰和郑爽为什么分手
0	上海哪里有卖纹身	上海哪里洗纹身好
1	你们心目中的女神什么样？	你们心目中的女神是怎样的？
0	头发干燥怎么办？发质很差。	发质差怎么办，而且很毛躁？
0	月经期可以喝中药吗	酸奶加红糖怎么喝才能减肥
1	喝绿茶有什么好处！	喝绿茶有什么好处？
